"V1","V2"
45.4777784,9.1796941
45.4506678,9.1879188
45.482134,9.3298
45.4505636,8.9668622
45.4817604,9.1840235
45.4688784,9.2114124
45.4618155,9.2135517
45.4657543,9.1512257
45.4420053,9.1723767
45.508687,9.2004822
45.457452,9.17299
45.5135231,9.191143
45.4911499,9.2445669
45.4914562,9.1844094
45.4692104,9.2156192
45.478138,9.2052536
45.4776165,9.1880697
45.4782542,9.1625146
45.4810685,9.2096571
45.4518958,9.1747548
45.48567,9.192118
45.4505556,9.1991667
45.4834073,9.2039635
45.4812889,9.1733647
45.4687285,9.209663
45.4620613,9.2674656
45.4798624,9.1829551
45.4763559,9.1705901
45.4780346,9.2077101
45.451802,9.1632901
45.4566699,9.2122691
45.491357,9.099469
45.4527108,9.1701243
45.4702367,9.2303452
45.519297,9.1699799
45.4910472,9.2391444
45.451697,9.175184
45.4820663,9.2108917
45.469007,9.1761602
45.487019,9.031147
45.4604874,9.1514988
45.474463,9.1946049
45.4733685,9.1956078
45.448236,9.1774249
45.4526319,9.1452424
45.4674397,9.1740107
45.4810833,9.2039832
45.4991264,9.1657066
45.4469223,9.1533507
45.4397937,9.2250301
45.4723778,9.2268782
45.5020021,9.1660143
45.4368867,9.1566806
45.467007,9.144509
45.4867552,9.1594478
45.4812869,9.2112827
45.4666922,9.2100821
45.4829567,9.1697729
45.465544,9.17635
45.4815913,9.1777201
45.452227,9.219446
45.4584732,9.131244
45.4458606,9.2131224
45.4820599,9.1969426
45.4763069,9.1952257
45.4757499,9.1952702
45.4723775,9.2097222
45.4812802,9.1759905
45.4455182,9.146575
45.483953,9.19801
45.4893881,9.1636323
45.4747672,9.1507671
45.4734544,9.1600801
45.5217913,9.2154804
45.4507224,9.1709075
45.4838457,9.2100077
45.4727586,9.1964477
45.500022,9.221591
45.4779492,9.2044155
45.4369085,9.2019859
45.1156626,9.9931679
45.4653611,9.1648352
45.4809082,9.1927341
45.7931514,8.7463156
45.443766,9.215997
45.4491667,9.2169444
45.496576,9.1833029
45.4520525,9.2050116
45.478138,9.2052536
45.4801276,9.2031148
45.4675391,9.1520792
45.4848205,9.165102
45.4519444,9.1705556
45.5007672,9.1416221
45.467632,9.174846
45.4484683,9.2120351
45.4578293,9.1778555
45.4631496,9.1593704
45.5102534,9.176363
45.4519688,9.1833395
45.480343,9.2017088
45.4506157,9.1615613
45.488031,9.1594994
45.465267,9.2216921
45.4804615,9.1997147
45.4604953,9.1147296
45.4921942,9.1512144
45.4598743,9.1659517
45.4683288,9.2131606
45.4808333,9.1794444
45.477434,9.185352
45.4512106,9.2116309
45.4812367,9.1792626
45.4654246,9.2083232
45.4433916,9.1112525
45.4867165,9.1910603
45.4734361,9.1910846
45.472223,9.18305
45.457452,9.17299
45.5110265,9.2148249
45.4708238,9.2317532
45.48588,9.1964105
45.4818694,9.2062361
45.4534276,9.1579682
45.4789848,9.1886501
45.4640531,9.2066585
45.4621223,9.2142397
45.4527469,9.1745391
45.4809002,9.1935397
45.4876938,9.2026109
45.452607,9.173432
45.4581324,9.2120617
45.476797,9.204024
45.4998134,9.2263921
45.4367356,9.2163267
45.4842745,9.2140767
45.4658211,9.172407
45.4723739,9.3060083
45.451793,9.1706756
45.4776148,9.1991317
45.4792302,9.2175381
45.467632,9.174846
45.4583085,9.2076614
45.4547115,9.1802891
45.482063,9.2009174
