"V1","V2"
45.482134,9.3298
45.4505636,8.9668622
45.4657543,9.1512257
45.508687,9.2004822
45.5135231,9.191143
45.4911499,9.2445669
45.4914562,9.1844094
45.4620613,9.2674656
45.491357,9.099469
45.4702367,9.2303452
45.519297,9.1699799
45.4910472,9.2391444
45.487019,9.031147
45.4604874,9.1514988
45.4526319,9.1452424
45.4991264,9.1657066
45.4469223,9.1533507
45.4397937,9.2250301
45.5020021,9.1660143
45.4368867,9.1566806
45.467007,9.144509
45.4867552,9.1594478
45.4584732,9.131244
45.4455182,9.146575
45.4893881,9.1636323
45.4747672,9.1507671
45.5217913,9.2154804
45.500022,9.221591
45.4369085,9.2019859
45.1156626,9.9931679
45.7931514,8.7463156
45.496576,9.1833029
45.4675391,9.1520792
45.4848205,9.165102
45.5007672,9.1416221
45.5102534,9.176363
45.488031,9.1594994
45.4604953,9.1147296
45.4921942,9.1512144
45.4433916,9.1112525
45.5110265,9.2148249
45.4708238,9.2317532
45.4998134,9.2263921
45.4367356,9.2163267
45.4723739,9.3060083
45.4841535,9.1636342
45.484601,9.1658049
60.2795906,2.47613922
45.4709017,9.1228384
45.4506537,9.1535359
45.473121,9.1183346
45.4947706,9.1855922
45.5061799,9.2320329
45.4679206,9.1344907
45.4668795,9.1452978
45.4369773,9.1921086
45.4775439,9.1472145
45.4804443,9.161042
45.461974,9.2329121
45.4372725,9.2179749
45.491378,9.239295
45.4442225,9.1161815
46.0220139,7.747775
45.484951,9.162329
45.4795898,9.1459355
45.483963,9.242307
45.4862028,9.3017213
45.486684,9.2904714
45.4403588,9.1458453
45.4707921,9.2556279
45.4854521,9.2353474
45.4674162,9.14736
45.4966846,9.1835996
45.4969444,9.1905556
45.4703423,9.2464384
45.4513626,9.0831509
45.4842817,9.1634361
45.4895692,9.2097919
45.5915185,9.1740195
45.4679704,9.1520831
45.470387,9.2406452
45.433903,9.174037
45.4418932,9.1324503
45.5280203,9.1610752
45.5161878,9.1744884
45.4586944,9.1542716
45.4819705,9.229153
45.5057371,9.2286026
45.6014077,8.9134183
45.4473751,9.1530325
45.4667477,9.1522333
48.0003113,1.13419116
45.4931823,9.1483349
45.4921274,9.1512478
45.488046,9.228167
45.4526319,9.1452424
45.4842817,9.1634361
45.4405852,9.2142518
45.5010368,9.1830183
45.4830209,9.1563183
45.4681691,9.1513344
45.4842172,9.1571059
45.4882334,9.1618605
45.4596258,9.1131796
45.4867759,9.1670728
45.4967935,9.2051859
51.1126165,-0.24534937
45.4588028,9.1318443
45.4423834,9.1337931
45.5099297,9.1750765
45.4455182,9.146575
45.4408371,9.156262
45.4935047,9.1446511
45.5811593,9.1925789
45.4600503,9.0977041
45.4735634,9.1262008
45.4915802,9.207667
45.506193,9.223446
45.490336,9.2037626
45.4681691,9.1513344
45.4438083,9.1279425
45.4893881,9.1636323
45.4314347,9.2015795
45.485401,9.1615896
45.4874555,9.1669455
45.4429842,9.1133853
45.4522164,9.2472975
45.4548032,9.245022
45.4872786,9.1711602
45.4852438,9.167095
45.4338233,9.1854086
45.5216945,9.2153382
45.503685,9.2453546
45.4687338,9.1525603
45.5104571,9.2189663
45.4454609,9.1640094
45.4728006,9.1094351
45.44724,9.158829
45.4447629,9.1549189
45.5099297,9.1750765
45.4883163,9.2171374
45.5181453,9.2086105
45.484634,9.164366
45.4930077,9.2175414
45.4905095,9.1472175
45.4708238,9.2317532
45.4932932,9.1439535
45.4267547,9.1694256
45.5232508,9.2206744
45.3754302,9.1697216
45.4703582,9.2462474
45.4652778,9.1358333
45.4851654,9.1558861
45.500522,9.1235853
45.487633,9.2183745
45.4506214,9.1525113
45.4669254,9.1527907
45.4586944,9.1542716
45.8313851,8.8003723
45.497033,9.175641
45.467007,9.144509
45.4862697,9.1645778
45.4805222,9.1462
45.431182,9.1992031
45.5156316,9.2257439
45.4852164,9.2310703
45.4677293,9.1511216
45.4363164,9.2407665
45.5941667,8.9058333
45.447376,9.1549202
45.5019558,9.2431193
45.4963973,9.1814193
45.5003365,9.1707549
45.4191231,9.1793273
45.6174895,9.1998958
45.4674162,9.14736
45.500986,9.1493336
45.4338601,9.1782799
45.4396149,9.1542171
45.4863661,9.2187889
45.4878656,9.1309458
45.4667529,9.1458601
45.502888,9.2390602
45.4052229,9.0117899
45.4458873,8.6179278
45.6262844,9.0170661
45.487427,9.2172745
45.4518502,9.1508399
45.496998,9.16928
45.4660813,9.1512506
47.7292397,1.03103492
45.4666316,9.1518322
45.4921338,9.2686538
45.4945488,9.1847572
45.4680209,9.1513934
45.4457914,9.128009
45.4754512,9.148263
45.501542,9.1782431
45.4286527,9.1712448
45.5185951,9.1671363
45.4846033,9.2461642
45.8,9.1844444
45.45518,9.123251
45.471226,9.228902
45.509457,9.2235278
45.5915185,9.1740195
45.4682816,9.1518411
45.5015716,9.1825646
45.4902483,9.1665381
45.4886832,9.1685206
45.4669843,9.1356957
45.489923,9.1410237
45.4647727,9.2303776
45.5027176,9.1613726
44.3071941,8.4872576
45.4905059,9.2300427
45.4852778,9.2163889
